ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Sum_contribution_margin_2
343573;Herrn;N;28;0;1;2;2;-;-;-;-;7174,799;-;0;0;0;-;-;-;-3,344761905;0;141,00354038
343574;Herrn;N;46;0;1;3;5;-;-;-;-;22790,952;-;0;0;0;-;-;-;-1;0;336,57063944
343576;Herrn;N;-;0;0;1;5;-;-;-;-;3997;-;0;0;0;-;-;-;-0,612321429;0;157,95423
343577;Herrn;N;36;0;0;1;5;-;-;-;-;4434;-;0;0;0;-;-;-;-0,977542373;0;175,97906
343582;Herrn;N;41;0;1;1;5;-;-;-;-;1357,7;-;0;0;0;-;-;-;-10,20690476;0;41,168943
343583;Frau;N;37;0;1;1;5;-;-;-;-;5034,8;-;0;0;0;-;-;-;-1;0;142,620132
343586;Frau und Herrn;N;61;0;1;1;5;-;-;-;-;3525;2,5;0;0;0;-;-;-;-1;0;125,01015
343587;Frau;N;70;0;0;1;5;-;-;-;-;527;-;0;0;0;-;-;-;-1;0;24,04693
343592;Frau;N;38;0;0;2;1;31.10.2018;31.10.2018;-;-;12773,994;-;0;0;0;-;-;-;-11,54467391;0;292,75502987
343594;Herrn;N;54;0;1;1;2;-;-;-;-;484;21;0;0;0;-;-;-;-2,17047619;0;33,66156
343601;Herrn;N;61;0;0;2;5;-;-;-;-;17600,212;-;0;0;0;-;-;-;-1;0;224,74926564
343603;Herrn;N;81;0;0;1;5;-;-;-;-;1828,1;-;0;0;0;-;-;-;-1,891052632;0;83,514229
343605;Herrn;N;74;0;1;2;5;-;-;-;-;3490,995;90,25;0;0;0;-;-;-;-0,029569892;0;141,6813379
343606;Frau;N;38;0;0;2;4;-;-;-;-;1820;-;0;0;0;-;-;-;-1,587741935;0;141,89251
343609;Herrn;N;33;1;1;2;5;-;-;-;-;1853,7;-;0;0;0;-;-;-;-1;0;36,373733
343610;Herrn;N;-;0;0;2;5;-;-;-;-;13625,1;-;0;0;0;-;-;-;0,617265625;1;177,495919
343612;Herrn;N;36;0;0;1;5;-;-;-;-;1435,8;-;0;0;0;-;-;-;-1;0;68,963822
343614;Frau;N;59;0;1;1;0;27.04.2019;27.04.2019;-;-;2312,2;2,5;0;0;0;-;-;-;-1;0;80,147798
343614;Frau;N;59;0;1;1;0;27.04.2019;27.04.2019;-;-;2312,2;2,95;0;0;0;-;-;-;-1;0;80,147798
343614;Frau;N;59;0;1;1;0;27.04.2019;27.04.2019;-;-;2312,2;50;0;0;0;-;-;-;-1;0;80,147798
343615;Frau;N;61;0;1;1;5;-;-;-;-;1552,8;-;0;0;0;-;-;-;-1;0;73,303352
343616;Frau und Herrn;N;29;0;0;1;5;-;-;-;-;11303,036;-;0;0;0;-;-;-;-2,286052632;0;120,40880252
343617;Herrn;N;67;0;0;2;5;-;-;-;-;1050,1;-;0;0;0;-;-;-;-3,556666667;0;41,693989
343622;Herrn;N;53;0;0;1;4;-;-;-;-;236;-;0;0;0;-;-;-;-1,3332;0;0
343624;Frau;N;32;1;1;3;5;-;-;-;-;24830;2,5;0;0;0;-;-;-;-1,499054545;0;295,53546
343624;Frau;N;32;1;1;3;5;-;-;-;-;24830;152;0;0;0;-;-;-;-1,499054545;0;295,53546
343625;Frau;N;62;0;0;2;4;-;-;-;-;16014,42;-;0;0;0;-;-;-;-1;0;187,8653674
343627;Herrn;N;42;0;0;2;5;-;-;-;-;12400;-;0;0;0;-;-;-;-1,821958042;0;212,16976
343629;Herrn;N;28;0;1;1;5;-;-;-;-;651,8;-;0;0;0;-;-;-;-5,0825;0;39,885262
343630;Herrn;N;74;0;0;1;5;-;-;-;-;905,5;-;0;0;0;-;-;-;-2,538484848;0;49,294995
343631;Frau;N;87;0;0;1;5;-;-;-;-;593,8;-;0;0;0;-;-;-;-1;0;37,734042
343633;Frau;N;-;0;0;2;5;-;-;-;-;14876;-;0;0;0;-;-;-;-1;0;167,03388
343634;Frau und Herrn;N;-;0;0;1;5;-;-;-;-;820;-;0;0;0;-;-;-;-1;0;0
343639;Frau und Herrn;N;-;0;0;2;5;-;-;-;-;18252,195;-;0;0;0;-;-;-;-1,553882353;0;193,39597315
343640;Frau;N;26;0;1;1;5;-;-;-;-;1342,4;-;0;0;0;-;-;-;-0,992363636;0;65,499616
343642;Frau;N;48;0;0;1;5;-;-;-;-;1463;-;0;0;0;-;-;-;-1,613829787;0;69,97267
343647;Herrn;N;29;0;0;1;5;-;-;-;-;2027,7;-;0;0;0;-;-;-;-2,068103448;0;59,654243
343649;Frau;N;25;0;1;2;5;-;-;-;-;1494,02;-;0;0;0;-;-;-;-1,426705882;0;58,54895
343650;Frau;N;27;1;1;1;5;-;-;-;-;1539;-;0;0;0;-;-;-;-1;0;72,79151
343658;Herrn;N;54;1;1;3;5;-;-;-;-;29596,76;-;0;0;0;-;-;-;-0,691515152;0;305,8935932
343664;Frau;N;60;0;0;3;5;-;-;-;-;16362;-;0;0;0;-;-;-;-1,343601896;0;51,24757
343665;Frau;N;42;0;0;2;5;-;-;-;-;29101,228;-;0;0;0;-;-;-;-3,7906875;0;309,84169116
343666;Frau;N;27;0;0;1;5;-;-;-;-;1573;-;0;0;0;-;-;-;1,282391304;1;47,10907
343668;Herrn;N;49;0;1;1;0;28.05.2019;28.05.2019;0;grün;3000;2,5;0;0;0;-;-;-;-;0;129,08
343668;Herrn;N;49;0;1;1;0;28.05.2019;28.05.2019;0;grün;3000;98;0;0;0;-;-;-;-;0;129,08
343668;Herrn;N;49;0;1;1;0;28.05.2019;28.05.2019;0;grün;3000;105;0;0;0;-;-;-;-;0;129,08
343668;Herrn;N;49;0;1;1;0;28.05.2019;28.05.2019;0;grün;3000;147,38;0;0;0;-;-;-;-;0;129,08
343668;Herrn;N;49;0;1;1;0;28.05.2019;28.05.2019;0;grün;3000;161,35;0;0;0;-;-;-;-;0;129,08
343668;Herrn;N;49;0;1;1;0;28.05.2019;28.05.2019;0;grün;3000;167,25;0;0;0;-;-;-;-;0;129,08
343670;Herrn;N;44;1;1;2;5;-;-;-;-;11590,769;-;0;0;0;-;-;-;-6,491404959;0;167,43778933
343672;Frau;N;59;0;1;1;4;-;-;-;-;776;-;0;0;0;-;-;-;-0,897586207;0;44,49184
343673;Herrn;N;62;1;0;3;5;-;-;-;-;13505,451;-;0;0;0;-;-;-;-5,01975;0;112,03273
343674;Frau und Herrn;N;48;0;1;1;5;-;-;-;-;4626;-;0;0;0;-;-;-;-2,265107914;0;186,55634
343679;Frau;N;37;0;0;1;5;-;-;-;-;3592,3;-;0;0;0;-;-;-;-0,104845361;0;129,609807
343683;Frau;N;30;0;0;1;5;-;-;-;-;1238;-;0;0;0;-;-;-;-1,499756098;0;61,62742
343684;Frau;N;23;0;1;1;5;-;-;-;-;1207,6;-;0;0;0;-;-;-;-1;0;37,027684
343687;Frau;N;25;0;1;2;2;-;-;-;-;1301,215;14,44;0;0;0;-;-;-;-6,423142857;0;60,1333483
343688;Frau;N;46;1;0;1;2;-;-;-;-;2708,2;-;0;0;0;-;-;-;-2,5905;0;78,429238
